name;normal_prod;capacity;aggregates;turbine_type;station;height;Vattenf;mean_runoff;magasin;river;location;community;region;Lat;Long
Forshuvudforsen;209000;44000;4;1 Francis, 3 Kaplan;Ovanjordsanläggning;10.7;500;276;;Dalälven;Borlänge;Borlänge;Dalarnas;60.53577;15.42348
Mörsil;205000;40000;2;Kaplan;Ovanjordsanläggning;18;320;158;;Indalsälven;Mörsil;Åre;Jämtlands;63.29700;13.68849
Stensjön;204000;95000;1;Francis;Underjordsanläggning;318;36;8.5;173;Hårkan;Rörvattnet;Krokoms;Jämtlands;63.97457;13.88128
Mockfjärd;204000;43000;2;Francis;Underjordsanläggning;27;190;122;;Dalälven;Mockfjärd;Gagnef;Dalarnas;60.48355;14.89783
Blåsjön;201000;60000;1;Francis;Underjordsanläggning;90;80;33;490;Faxälven;Gäddede;Strömsunds;Jämtlands;64.67703;14.09442
Linnvasselv;200000;73000;2;Francis;Underjordsanläggning;108;52.5;25;560;Faxälven;Gäddede;Strömsunds;Jämtlands;64.64831;13.76117
Rengård;200000;35000;1;Kaplan;Ovanjordsanläggning;19.3;220;;;Skellefteälven;Rengård;Norsjö;Västerbottens;64.93176;20.02204
Granfors;195000;40000;2;Kaplan;Ovanjordsanläggning;18.6;240;;;Skellefteälven;Boliden;Skellefteå;Västerbottens;64.77948;20.41557
Höljebro gamla (G3);195000;39000;1;Kaplan;Ovanjordsanläggning;15;300;233;26;Ljusnan;Höljebro;Söderhamns;Gävleborgs;61.23743;17.01283
Skallböle;195000;46000;3;Kaplan;Ovanjordsanläggning;21.5;265;132;;Ljungan;Matfors;Sundsvalls;Västernorrlands;62.36402;16.96225
Bjurfors Övre;194000;42000;3;Kaplan;Ovanjordsanläggning;11.5;450;232;;Umeälven;Bjurfors;Vindelns;Västerbottens;64.15567;19.50367
Grytfors;189000;37000;1;Kaplan;Ovanjordsanläggning;22.4;165;;;Skellefteälven;Malå;Malå;Västerbottens;65.28506;19.16870
Sikfors;185000;40000;2;Kaplan;Ovanjordsanläggning;19.5;250;;0;Piteälven;Sikfors;Piteå;Norrbottens;65.53437;21.21328
Rusfors;184000;45000;1;Kaplan;Ovanjordsanläggning;12.3;450;216;75;Umeälven;Umgransele;Lycksele;Västerbottens;64.71402;18.25514
Stugun;181000;41000;2;Kaplan;Ovanjordsanläggning;7.3;640;377;;Indalsälven;Stugun;Ragunda;Jämtlands;63.16397;15.62148
Vittjärv;175000;30000;3;Rörturbin;Ovanjordsanläggning;6;690;475;;Luleälven;Boden;Bodens;Norrbottens;65.84538;21.55406
Avesta Storfors;170000;24000;1;Kaplan;Ovanjordsanläggning;9.4;500;325;;Dalälven;Avesta;Avesta;Dalarnas;60.15079;16.16933
Parteboda;170000;35000;2;Francis;Underjordsanläggning;34;140;72;;Ljungan;Ånge;Ånge;Västernorrlands;62.51824;15.69020
Vargön;165000;34000;3;2 Kaplan, 1 Rörkaplan;Ovanjordsanläggning;5.2;1000;520;9400;Göta älv;Vargön;Vänersborgs;Västra Götalands;58.35592;12.37480
Spjutmo;165000;35000;1;Kaplan;Ovanjordsanläggning;22;210;91;;Dalälven;Spjutmo;Mora;Dalarnas;61.08361;14.32286
Öjeforsen;160000;27000;1;Kaplan;Ovanjordsanläggning;16;190;143;;Ljusnan;Kårböle;Ljusdals;Gävleborgs;62.02178;15.25759
Sveg;155000;36000;1;Kaplan;Ovanjordsanläggning;19;200;120;237;Ljusnan;Sveg;Härjedalens;Jämtlands;62.02659;14.28703
Storåströmmen;150000;25000;2;Kaplan;Ovanjordsanläggning;17;180;142;;Ljusnan;Ytterhogdal;Härjedalens;Jämtlands;62.07881;15.10943
Betsele;145000;25000;2;Kaplan;Ovanjordsanläggning;9.5;320;217;;Umeälven;Lycksele;Lycksele;Västerbottens;64.63047;18.62715
Riebnes;142000;64000;1;Francis;Underjordsanläggning;88;;;;Skellefteälven;Ringselet;Arjeplogs;Norrbottens;66.40194;17.33068
Lövön;140000;36000;2;Rörturbin;Ovanjordsanläggning;14;300;142;495;Faxälven;Vågdalen;Strömsunds;Jämtlands;63.74784;15.69665
Munkfors;140000;33000;2;Kaplan;Ovanjordsanläggning;17;;;;Klarälven;Munkfors;Munkfors;Värmlands;59.84695;13.53928
Åsen;140000;24000;1;Kaplan;Nedgrävd anläggning;27;130;68;;Dalälven;Åsen;Älvdalens;Dalarnas;61.28256;13.76062
Hällforsen;130000;22000;2;Kaplan;Ovanjordsanläggning;7.8;320;223;;Umeälven;Lycksele;Lycksele;Västerbottens;64.58500;18.68992
Karsefors;129000;31400;2;Francis;Ovanjordsanläggning;25.6;155;;;Lagan;Laholm;Laholms;Hallands;56.49907;13.10821
