name;normal_prod;capacity;aggregates;turbine_type;station;height;Vattenf;mean_runoff;magasin;river;location;community;region;Lat;Long
Blyberg;70000;15000;1;Kaplan;Ovanjordsanläggning;11;160;87;;Dalälven;Blyberg;Älvdalens;Dalarnas;61.14694;14.14578
Kvarnfallet;70000;17000;1;Francis;Underjordsanläggning;50;44;19.1;11;Hårkan;Rörvattnet;Krokoms;Jämtlands;63.96057;14.08309
Yngeredsfors;70000;18800;2;Francis;Ovanjordsanläggning;28.3;;;;Ätran;Askome;Falkenbergs;Hallands;57.03311;12.76065
Gidböle;69000;12000;2;Francis;Ovanjordsanläggning;31;50;;;Gideälven;Husum;Örnsköldsviks;Västernorrlands;63.40690;19.05412
Lottefors;67500;13760;5;4 Francis, 1 Kaplan;Ovanjordsanläggning;6.7;220;178;;Ljusnan;Arbrå;Bollnäs;Gävleborgs;61.42854;16.41872
Landafors;65000;11200;1;Rörturbin;Ovanjordsanläggning;5.5;300;224;;Ljusnan;Segersta;Bollnäs;Gävleborgs;61.27294;16.62415
Letten;65000;36000;2;Francis;Underjordsanläggning;191;;;;Klarälven;Sysslebäck;Torsby;Värmlands;60.74766;12.78163
Näsaforsen;65000;15000;1;Kaplan;Underjordsanläggning;16.2;90;76;147;Hårkan;Föllinge;Krokoms;Jämtlands;63.65161;14.67605
Nederede;65000;16000;2;Kaplan;Ovanjordsanläggning;8.2;245;123;;Ljungan;Stöde;Sundsvalls;Västernorrlands;62.41886;16.49752
Väsa;65000;15000;1;Kaplan;Ovanjordsanläggning;10.5;160;87;;Dalälven;Väsa;Älvdalens;Dalarnas;61.17456;14.09256
Jössefors;64000;26000;1;Kaplan;Ovanjordsanläggning;25;;;;Jösseälven;Jössefors;Arvika;Värmlands;59.67552;12.47528
Traryd;64000;14400;2;Kaplan;Ovanjordsanläggning;16.1;;;;Lagan;Strömsnäsbruk;Markaryds;Kronobergs;56.58233;13.74226
Juvuln;62000;14000;1;Rörturbin;Ovanjordsanläggning;12;150;57;269;Indalsälven;Kallsedet;Åre;Jämtlands;63.69948;12.95508
Hoting;62000;13000;1;Rörturbin;Ovanjordsanläggning;15;175;78;23;Fjällsjöälven;Hoting;Strömsunds;Jämtlands;64.05976;16.25593
Högfors;60000;14000;2;;Ovanjordsanläggning;12.6;120;84;;Hårkan;Lit;Östersunds;Jämtlands;63.36857;14.88267
Röjdåforsen;60000;31500;1;Francis;Underjordsanläggning;192;;;;Röjdan;Röjdåfors;Torsby;Värmlands;60.29416;12.70830
Sil;60000;12000;1;Rörturbin;Ovanjordsanläggning;7;240;122;;Fjällsjöälven;Sundsvall;Strömsunds;Jämtlands;63.73295;16.42222
Fjällsjö;57100;13000;1;Rörturbin;Ovanjordsanläggning;7;240;122;;Fjällsjöälven;Fjällsjö;Strömsunds;Jämtlands;63.78361;16.43304
Nissaström;56000;11200;2;Kaplan;Ovanjordsanläggning;29;;;;Nissan;Oskarström;Halmstads;Hallands;56.84213;13.00959
Torrön;55000;24000;1;Rörturbin;Ovanjordsanläggning;22;165;46;1178;Indalsälven;Överäng;Åre;Jämtlands;63.77145;13.06712
Skärblacka;55000;10500;2;Fullkaplan rörturbin;Ovanjordsanläggning;9;150;78;;Motala Ström;Skärblacka;Norrköpings;Östergötlands;58.57866;15.90685
Tåsjö;54000;13000;1;Rörturbin;Ovanjordsanläggning;14;135;62;262;Fjällsjöälven;Hoting;Strömsunds;Jämtlands;64.15971;16.00473
Skogaby;52000;12500;3;Francis;Ovanjordsanläggning;12.2;130;;;Lagan;Skogaby;Laholms;Hallands;56.51946;13.18111
Ätrafors;52000;13000;3;Francis;Ovanjordsanläggning;23.5;;;;Ätran;Askome;Falkenbergs;Hallands;57.03404;12.66304
Lima;50000;13000;2;Kaplan;Ovanjordsanläggning;17;100;58;;Dalälven;Lima;Malung-Sälens;Dalarnas;60.79606;13.42477
Lindbyn;50000;11000;2;Kaplan;Ovanjordsanläggning;9;150;124;;Dalälven;Mockfjärd;Gagnef;Dalarnas;60.51341;14.99057
Rottnen;50000;17000;1;Kaplan;Underjordsanläggning;43;45;;;Rottnan;Rottneros;Sunne;Värmlands;59.79406;13.11304
Hallstahammar;49500;15000;1;Kaplan;Underjordsanläggning;29.7;60;27;;Kolbäcksån;Hallstahammar;Hallstahammar;Västmanlands;59.62002;16.20967
Edsforsen;49000;9000;2;Kaplan;Ovanjordsanläggning;7;190;;;Klarälven;Edebäck;Hagfors;Värmlands;60.06537;13.52601
Bodum;49000;12000;1;Rörturbin;Ovanjordsanläggning;6.5;220;117;21;Fjällsjöälven;Rossön;Strömsunds;Jämtlands;63.89067;16.28335
Hummelforsen;45000;10700;1;Kaplan;Ovanjordsanläggning;19;64;73;;Dalälven;Vansbro;Vansbro;Dalarnas;60.45140;14.14508
Anjan;44000;25000;1;Francis;Underjordsanläggning;40;72;15;210;Indalsälven;Anjehem;Åre;Jämtlands;63.68061;12.80818
