id;Region;P;Technology;Val
1;SE1;P1;TEC1;1
2;SE2;P1;TEC1;1
3;SE3;P1;TEC1;1
4;SE4;P1;TEC1;1
5;SE1;P1;TEC2;1
6;SE2;P1;TEC2;1
7;SE3;P1;TEC2;1
8;SE4;P1;TEC2;1
